mmsi,shipname,callsign,fleet_iso3,fleet_name,imo
677018800,LETFALLAH III,5IM288,TZA,Tanzania,7522203
412441730,HAIFENG101,,CHN,China,
,LIAO CHANG LENG 5,,CHN,China,8956906
258672000,RONJA POLARIS,LDHS,NOR,Norway,9657765
258871000,RONJA HUON,LGRR3,NOR,Norway,9682540
412000000,HONGFENGHAO1,BVSP7,CHN,China,9756573
412453002,FU YUAN YU F32,BVCY7,CHN,China,8410433
367040180,GANDIL,WDC5380,USA,United States,8034667
367098190,ENTRANCE POINT,WDC9146,USA,United States,8851699
367137170,KATRINA EM,WTK2245,USA,United States,7908213
273398570,POMOR,UBWO2,RUS,Russia,8860468
257349500,HORISONT III,JXDJ,NOR,Norway,8612770
725000971,FAEROY,CA4049,CHL,Chile,9201891
1193046,AUXIS,3BSD,MUS,Mauritius,8819287
1193046,MONTECRUZ,3FUH5,PAN,Panama,7710276
273313950,SIRIUS,UHVP,RUS,Russia,7700099
273331810,AFINA,UBIF5,RUS,Russia,8403363
214182402,SHINGLE,ERXB,MDA,Moldova,8036079
224124000,SALICA FRIGO,EBTL,ESP,Spain,9238703
354034000,PALOMA REEFER,HO2430,PAN,Panama,9309681
311000433,SILVER PEARL,C6CC5,BHS,The Bahamas,8400050
244542000,HOLLAND KLIPPER,PESF,NLD,Netherlands,8810786
376098000,ELECTRA,J8B4888,VCT,Saint Vincent and the Grenadines,8404238
249842000,NOVA CALEDONIA,9HIH5,MLT,Malta,8518807
311043900,GREENCONCORDIA,C6YS7,BHS,The Bahamas,9011038
272727000,POLUS1,UUAY6,UKR,Ukraine,8727018
273191300,OBAYATELNYY,UDQY,RUS,Russia,8724377
273211110,PAMYAT ILICHA,UFYW,RUS,Russia,8811675
273219900,ARCTIC PRINCESS,UHTA,RUS,Russia,7604403
273310720,GENNADIY VODOLAZSKIY,UHOU,RUS,Russia,9082180
273313270,SIMFONIYA,UFEF,RUS,Russia,8516627
273316080,OLA,UBKE9,RUS,Russia,7920326
273330299,POLTAVA,UEEJ,RUS,Russia,9175286
273335960,FRIO AGATES,UGKH,RUS,Russia,9081631
273351900,AMEGA,UBLG2,RUS,Russia,8502793
273352570,PYOTR ILICHYOV,UCMP,RUS,Russia,9082178
352966000,FRIO LAS PALMAS,3FJQ3,PAN,Panama,9082178
273354751,SARONIC BREEZE,UBYH9,RUS,Russia,9081643
273355540,VOSTOK REEFER,UBYH6,RUS,Russia,8403961
273359935,TAVRIA,UBIH4,RUS,Russia,8826759
273382550,PACIFICA,UIIA,RUS,Russia,8812801
356567000,SHANGHAI REEFER,HPXZ,PAN,Panama,9010785
341307004,NOVIY SVET,V4OQ2,KNA,Saint Kitts and Nevis,8509557
273420240,KOMMUNARY NIKOLAYEVA,UERA,RUS,Russia,8729183
273428710,KAPITAN KANTSIBER,UESK,RUS,Russia,8623559
273440893,KATRAN,UERV,RUS,Russia,8727343
273441694,JUPITER,UDOW,RUS,Russia,7700116
273449080,SORAKSAN,UAYO,RUS,Russia,8723361
273457850,PREGOLSKIY,UDLH,RUS,Russia,8724341
273459400,TAMARA,UAJV,RUS,Russia,8880523
273512445,TAMBOV,UIMH,RUS,Russia,8225723
273512447,TAMBOV,UIMH,RUS,Russia,8225723
273817200,EVGENIY ZOTOV,UDDF,RUS,Russia,9076595
273844510,MAYAK,UDIN,RUS,Russia,8860119
273872100,RUBINOVYY,UDSD,RUS,Russia,8725826
277312000,ANDROMEDA,LYRJ,LTU,Lithuania,8806242
374198000,HAI FENG 718,3FIC4,PAN,Panama,9135169
306752000,NOVA FLORIDA,PJUP,CUW,Cura ao,8813635
309281000,GREEN ITALIA,C6WH9,BHS,The Bahamas,9045780
309361000,GREEN EXPLORER,C6VZ4,BHS,The Bahamas,8922242
577324000,SEA PEARL I,H8MF,PAN,Panama,9008639
311034800,GREEN AUSTEVOLL,C6YS6,BHS,The Bahamas,8819299
311042400,GREEN MALOY,C6YQ9,BHS,The Bahamas,8804579
888888888,FRIOCONFIDANZE,V3QW5,BLZ,Belize,7713242
341353000,SPRING BAY,V4ZK2,KNA,Saint Kitts and Nevis,8604606
620149000,FRIO SEVEN,D6A2149,COM,Comoros,8215936
314233000,BOSSE,8PTO,BRB,Barbados,8312655
636017752,WEI SHUN,D5MO2,LBR,Liberia,8312655
341537000,BEAM,V4BH3,KNA,Saint Kitts and Nevis,8408258
529620000,PUNTORUSSO,T3HT2,KIR,Kiribati,8612304
351822000,TAI FU NO. 3,H3AI,PAN,Panama,7927453
577314000,SEA TRADER,YJUM3,VUT,Vanuatu,8919893
352515000,FRIO PACIFIC,HOAL,PAN,Panama,8324244
353242000,OSTROV BERINGA,3FHP2,PAN,Panama,8517815
354570000,REFSTAR,3FKX4,PAN,Panama,8415550
354716000,HAI FENG 648,3EHA6,PAN,Panama,8710132
355643000,SEA MARK,3FUJ9,PAN,Panama,8317423
577102000,HARU,YJSU3,VUT,Vanuatu,9241932
356616000,DHARA,3EQZ7,PAN,Panama,8904941
440686000,DHARA,D7WB,KOR,South Korea,8904941
357735000,FRIO MOGAMI,3FSC9,PAN,Panama,9184548
370115000,NESTOS REEFER,3EAJ9,PAN,Panama,9045156
371542000,NO.1 POHAH,3FSS6,PAN,Panama,8714944
412322340,TAI XING,BCIO,CHN,China,8210273
577082000,TALOFA,YJRZ7,VUT,Vanuatu,8223311
667003336,FONGKUO807,9LY2533,SLE,Sierra Leone,9065534
372910000,HAI FENG 638,3EVC7,PAN,Panama,8613920
374478000,FRIO ANTARTIC,3FAR4,PAN,Panama,8807466
441834000,IRIS,DSRH3,KOR,South Korea,8513039
374723000,YUN RUN 3,HOAZ,PAN,Panama,9161613
529650000,HAO XIANG,T3JZ2,KIR,Kiribati,7812062
412660240,HAI FENG 823,BKUG,CHN,China,8863496
412946000,KAI YUAN,BIUA,CHN,China,8317409
416521000,YONG MAN SHUN,BZCO,TWN,Taiwan,
431263000,GOUTA MARU,7JUZ,JPN,Japan,9746827
636017396,TAIHO MARU,D5KS2,LBR,Liberia,9459591
636013976,DAMACOFRANCIA,A8QO5,LBR,Liberia,8813623
440101000,MONONOK,DSRO8,KOR,South Korea,8911607
538002899,PHAROSTAR,V7MT7,MHL,Marshall Islands,9087910
576507000,OCEANUS,YJQH9,VUT,Vanuatu,9194919
514211000,HAI CHI 3,XUDU6,KHM,Cambodia,8649151
667401500,HAIFENG66,XUEC2,KHM,Cambodia,7809390
515557000,HENGXING1,XUPA8,KHM,Cambodia,8834421
530149576,HUA JIAN 1,T3MD,KIR,Kiribati,7908732
567008300,BLACKPEARL,HSB2163,THA,Thailand,6601636
567175000,CELTIC ICE,HSB2700,THA,Thailand,7727102
567188000,SERENE REEFER,HSB2752,THA,Thailand,7508336
567196000,SIRICHAI REEFER,HSB2797,THA,Thailand,8211837
567266000,NEW STREAM,HSB3066,THA,Thailand,7637565
576414000,TENHO MARU,YJQE5,VUT,Vanuatu,9128764
636091461,WATER PHOENIX,A8OE3,LBR,Liberia,9045168
636092422,WATER PHOENIX,A8OE3,LBR,Liberia,9045168
636018499,LAGOON PHOENIX,A8OE4,LBR,Liberia,9047245
431003873,KAIKOMARU NO.85,JD3401,JPN,Japan,
,TAMAHOPE,,BHS,The Bahamas,8517346
,URUGUAYSTAR,,LBR,Liberia,9017264
273829220,TAIROVO,UFPR,RUS,Russia,8228490
515344000,LIAO CHANG LENG 3,XUBR6,CHN,China,8863630
258109000,RONJA SKYE,LAGU,NOR,Norway,9245926
316001828,RONJA CARRIER,CFK9573,CAN,Canada,9282845
412766030,ZHE LENG 7,BKAE5,CHN,China,9025649
367486040,NUSHAGAK SPIRIT,WDF7589,USA,United States,
273382270,BLUETRANS,UBAO2,RUS,Russia,9220835
273382271,BLUETRANS,UBAO2,RUS,Russia,9220835
257797000,DOENNLAND,LCUL,NOR,Norway,9632569
258161000,SEIVAAG,LHDO,NOR,Norway,7712913
412440033,FUYUANYUF53,BMWA,CHN,China,
431149000,SUMIHO MARU NO.68,JL5832,JPN,Japan,9015292
431146000,HUKU MARU NO.78,JL6537,JPN,Japan,
412331493,LURONGYUANYUYUN899,,CHN,China,
,SUWA MARU NO.22,,JPN,Japan,8809268
645376000,AUXIS,3BSD,MUS,Mauritius,8819287
37404800,SHIN HO CHUN NO. 101,3FRF9,PAN,Panama,9220653
356673000,SARONIC BAY,H3PP,PAN,Panama,9175274
214182223,AQUAMARINE,ERVW,MDA,Moldova,7719595
636092399,POLARSTREAM,D5BR6,LBR,Liberia,9189885
273332299,BUKHTA RUSSKAYA,UFLQ,RUS,Russia,9076272
636011904,CAPE BLOSSOM,A8CC2,LBR,Liberia,9035072
229644000,SARONICBREEZE,9HA3479,MLT,Malta,9041540
229705000,SIERRALAUREL,9HA3533,MLT,Malta,9163403
273211135,PAMYAT ILICHA,UFYW,RUS,Russia,8811675
273251100,PETROGRADSKIY,UFXL,RUS,Russia,8723347
273257000,SMOLNINSKIY,UBVW,RUS,Russia,8847131
273311330,KOMBRIG MALCHENKO,UELF,RUS,Russia,9101857
273317810,CANOPUS,UCTB,RUS,Russia,7700087
273330300,POLTAVA,UEEJ,RUS,Russia,9175286
273330303,POLTAVA,UEEJ,RUS,Russia,9175286
273350580,ARKADIJA,UBEJ2,RUS,Russia,9057393
273352571,PYOTR ILICHYOV,UCMP,RUS,Russia,9082178
357889000,WASHINGTON,HOZO,PAN,Panama,8710352
371223000,FAST,3EBT2,PAN,Panama,8404575
351747000,ASIANORCHID,3FSS8,PAN,Panama,9196357
273385142,URGULL,UBZN7,RUS,Russia,8810190
273385180,URGULL,UBZN7,RUS,Russia,8810190
636091464,PRINCE OF SOUNDS,A8OE6,LBR,Liberia,9053957
529623000,RETRIEVER,T3HW2,KIR,Kiribati,9109500
273440860,KATRAN,UERV,RUS,Russia,8727343
273811020,KAPITAN PRYAKHA,UIWB,RUS,Russia,8834483
273814050,OZERSK,UHWR,RUS,Russia,8226973
273815020,NEREY,UIUS,RUS,Russia,8723373
273895519,DRUZHBA,UHSV,RUS,Russia,8730089
273896310,VYSOKOGORNYY,UGQF,RUS,Russia,8328771
277247000,MARSAS,LYOT,LTU,Lithuania,8818893
277327000,LIBRA,LYRT,LTU,Lithuania,9009683
372538000,HUAN YU 1,3EKK9,PAN,Panama,8618865
277380000,CAPELLA,LYSG,LTU,Lithuania,9047257
311004000,GREEN MAVERIC,C6VY2,BHS,The Bahamas,9043055
311029000,GREEN MAGNIFIC,C6VY3,BHS,The Bahamas,9011492
311042300,GREENTOLEDO,C6YQ8,BHS,The Bahamas,9015785
636016916,GREEN TOLEDO,D5IJ6,LBR,Liberia,9015785
311461000,GREEN MAGIC,C6VY5,BHS,The Bahamas,8822583
371718984,DAFENG MARINER,3FIO6,PAN,Panama,8319031
312932000,JIN MAO,V3HX3,BLZ,Belize,7927037
441949000,GREEN CAPE,DSMA5,KOR,South Korea,8800224
351493000,VAGRAND,HP7289,PAN,Panama,8210338
577089000,BADARO,YJSC3,VUT,Vanuatu,9163439
354461000,XING YUN,3FVB3,PAN,Panama,8203816
533000333,KHA YANG 333,9MTU3,MYS,Malaysia,7920728
353306000,FRIO CHIKUMA,3FWG8,PAN,Panama,9184536
353981000,FRIO HELLENIC,3FVQ8,PAN,Panama,9081679
354036000,PLATTE REEFER,3FUT6,PAN,Panama,7812098
371727000,RYOMA,3ELZ5,PAN,Panama,9133305
354493000,MABAH,3FSC4,PAN,Panama,9105358
356134000,LIAN RUN,3EJR7,PAN,Panama,7624271
355317000,ORIENTAL CHILAN,3FHF5,PAN,Panama,8301723
355513000,YUNG DA FA 108,3EAX9,PAN,Panama,9016076
567451000,SEAVICAREMAR,HSB4649,THA,Thailand,6908993
356386000,SUAH,HOZZ,PAN,Panama,9000376
356591000,WIN SHENG,3FWH6,PAN,Panama,7810571
356609000,FRIO LAS PALMAS,3EBI9,PAN,Panama,8908193
356878000,ATLANTIC HOPE,3FOZ2,PAN,Panama,8318659
356889000,ANGARA,3FVD,PAN,Panama,9136890
357497000,TAI JI,3FYZ6,PAN,Panama,8804244
357805000,SKYFROST,3FTR9,PAN,Panama,8521830
370599000,IBUKI,3ELC8,PAN,Panama,9666481
529132000,YUNG DA FA 101,T3NL,KIR,Kiribati,8508840
371335000,HAI FENG 628,3FEO6,PAN,Panama,8317356
431201000,TAISEI MARU NO.15,7JTK,JPN,Japan,8710728
372886000,CHANG SHUN 1,3EKZ8,PAN,Panama,8976841
373246000,LUCENA CARRIER,3FXS9,PAN,Panama,9179402
576705384,ZEFYROS,YJQK7,VUT,Vanuatu,8916748
576688000,FRIO DOLPHIN,YJQK2,VUT,Vanuatu,8807442
529607000,HAN XING,T3HE2,KIR,Kiribati,9586332
667003111,HAN XING,T3HE2,KIR,Kiribati,9586332
667003111,HANXING,9LY2308,SLE,Sierra Leone,9586332
514298000,MINGHANG8,XUJF6,KHM,Cambodia,8224432
515183000,YONGXIANG8,XUCX2,KHM,Cambodia,8609280
374849000,HAO XIANG,3EGU9,PAN,Panama,7812062
529650006,HAO XIANG,T3JZ2,KIR,Kiribati,7812062
412421049,NING TAI LENG 7,BZW6E,CHN,China,9821134
416001900,YUAN TAI NO.806,BZIR,TWN,Taiwan,7900663
416308000,CHEN YU NO.7,BZLY,TWN,Taiwan,7930175
416110700,,BI2039,TWN,Taiwan,7121956
440097000,SEIN SKY,DSRO7,KOR,South Korea,8813623
440113000,PHAROSTAR,D7PK,KOR,South Korea,9087910
440664000,SL BOGO,DSOZ2,KOR,South Korea,8815009
567176000,SEVEN SEAS,HSB2703,THA,Thailand,8210936
457689000,KESHAN,JVZR4,MNG,Mongolia,7905039
457716000,HENGSHENGCHANG1,JVAQ9,MNG,Mongolia,8024935
525010170,SUMBERSUKSESUTAMA,PNOP,IDN,Indonesia,7905027
529608000,PING DA 7,T3HF2,KIR,Kiribati,9441960
529781000,ZHONGXIANG,T3QL2,KIR,Kiribati,8814299
576732000,SHOTA MARU,YJQP4,VUT,Vanuatu,9194892
577132000,CHIKUMA,YJTE5,VUT,Vanuatu,9666493
636092421,LAGOON PHOENIX,A8OE4,LBR,Liberia,9047245
636091096,PRINCE OF WAVES,A8JI3,LBR,Liberia,9066485
,BELLATRIX,,PAN,Panama,8403961
,SEAPEARL,,KIR,Kiribati,9008639
,SUPERIORREEFER,,THA,Thailand,7811513
,ZHOUYULENG7,,CHN,China,8887985
309681,GREENBRAZIL,C6WH6,BHS,The Bahamas,9045792
353828000,HAI YING,3EHM8,PAN,Panama,8319598
367108640,BARWELL,WBK3226,USA,United States,7051668
367492890,ISLAND TRADER,WDF8244,USA,United States,
377906047,BARANA,J8PV5,VCT,Saint Vincent and the Grenadines,8707159
416730000,LIAN JYI HSING,BI2037,TWN,Taiwan,7234210
567007200,REDPEARL,HSB2191,THA,Thailand,6904208
258118000,RONJA COMMANDER,LAGR,NOR,Norway,9276183
258990000,RONJA ATLANTIC,LGVA,NOR,Norway,9451563
412206010,RENCHENG1,BALC,CHN,China,9374375
366721880,DILIGENCE,WDD7916,USA,United States,
366971230,HALLO BAY,WBM7130,USA,United States,
367451510,ROEDDA,WDF4404,USA,United States,
367561070,STEELHEAD,WDG6826,USA,United States,7940211
367442240,LINDA B,WDF4466,USA,United States,
259555000,FAEROY,LJPL,NOR,Norway,9201891
273891210,PROLIV YEKATERINY,UGMG,RUS,Russia,8724444
412440253,FUYUANYULENG16,BZU4K,CHN,China,
412458512,JINCHENGXING7,BVEK,CHN,China,
431401161,KAIKO MARU NO.33,JE3026,JPN,Japan,
354666000,FRIO AEGEAN,3FGY4,PAN,Panama,9076260
341759000,FRIO PETROPAVLOVSK,V4RV2,KNA,Saint Kitts and Nevis,9076258
352864000,FRIO ANTARCTIC,3FZS3,PAN,Panama,9076258
312534000,OKAPIMARTA,V3ZR6,BLZ,Belize,7816472
229359000,PALOMAREEFER,9HA3266,MLT,Malta,9309681
229360000,PRINCESAGUASIMARA,9HA3267,MLT,Malta,9442237
371812000,FRIO POSEIDON,3EHL5,PAN,Panama,8807662
371156000,SARONIC BREEZE,H9PE,PAN,Panama,9041540
244542000,SIERRA KING,PESF,NLD,Netherlands,8810786
244790145,COOL EXPRESO,PDKK,NLD,Netherlands,9085479
258963000,GREENCONCORDIA,LASW7,NOR,Norway,9011038
273148810,BELOMORYE,UIVG,RUS,Russia,7808334
273311610,FROST OLYMPOS,UBYV,RUS,Russia,7812024
273313471,ANATOLIY LARIN,UBHE3,RUS,Russia,8516641
273324210,ARCTIC,UFOR,RUS,Russia,8223464
353709000,ARCTIC,3FXC8,PAN,Panama,8223464
273339110,ZALIV RADUGA,UBDF6,RUS,Russia,8216904
273354210,ZALIV RADUGA,UBDF6,RUS,Russia,8216904
273354740,SARONIC BREEZE,UBYH9,RUS,Russia,9081643
576626000,HATSUKARI,YJQL2,VUT,Vanuatu,9054858
667006043,FRIOSEVASTOPOLIS,9LC2136,SLE,Sierra Leone,8860432
992724428,TAVRIA,UBIH4,RUS,Russia,8826759
341307003,NOVIY SVET,V4OQ2,KNA,Saint Kitts and Nevis,8509557
273385136,URGULL,UBZN7,RUS,Russia,8810190
273385170,TIGR 2,UBFP9,RUS,Russia,9061198
354811000,TAGANROGSKIYZALIV,3FAZ9,PAN,Panama,9016973
273389770,ORION-1,UCET,RUS,Russia,8520496
273417300,KAM STAR,UBIF,RUS,Russia,8220096
314099000,ATLANTICLADY,V4JY2,KNA,Saint Kitts and Nevis,8500630
273421240,ANTON GURIN,UERJ,RUS,Russia,8723402
273441670,JUPITER,UDOW,RUS,Russia,7700116
273441726,JUPITER,UDOW,RUS,Russia,7700116
273512400,TAMBOV,UIMH,RUS,Russia,8225723
273825200,PREDSEDATEL GANSLEP,UIVX,RUS,Russia,8834689
273825855,LUCHISTYY,UHTH,RUS,Russia,8035087
273844700,KAPITANSTEKOLSCHIKOV,UHWT,RUS,Russia,8884256
273892210,GEROI SIVASHA,UHUV,RUS,Russia,8038170
312174000,RANGIROA,V3SY5,BLZ,Belize,8210259
374610000,HAI FENG 678,3FCO5,PAN,Panama,9016961
510182000,QIANYUAN,V6LF,FSM,Federated States of Micronesia,8819691
351527000,OCEAN MARINER,H8IL,PAN,Panama,8217104
636017561,ZHONG ZHOU 1,D5LO2,LBR,Liberia,9044358
354062000,HAI FENG 668,3EIN8,PAN,Panama,8800236
671608000,DO WON,5VDJ9,TGO,Togo,7927037
319245000,ICE RANGER,ZCMO6,CYM,Cayman Islands,8311132
353799000,BLISSFULREEFER,HQXO8,HND,Honduras,5296795
577310000,KAIMON,YJUK3,VUT,Vanuatu,9172442
538002995,KHANA,V7NP7,MHL,Marshall Islands,8810645
440222000,LAKE CASTLE,D7NB,KOR,South Korea,9004657
636012747,CHILESTAR,A8HP4,LBR,Liberia,9017276
354569000,REF VEGA,3FKW4,PAN,Panama,8422709
355665576,DA PING 1,H8TO,PAN,Panama,8011029
374083000,PS REEFER,3FRQ5,PAN,Panama,8221947
529558000,NAFTILOS,T3FD2,KIR,Kiribati,8503723
355295000,FARO,H3LU,PAN,Panama,9174701
567492000,MARINE1,HSB4886,THA,Thailand,7721067
356962000,URUGUAY REEFER,3FNJ,PAN,Panama,9017264
357058000,NO.2 POHAH,3FWC9,PAN,Panama,9227601
357642000,FRIO SPAIN,HOYR,PAN,Panama,8303903
577315000,SEIN GRACE,YJUM8,VUT,Vanuatu,8609979
529606000,MIN TAI LENG,T3HD2,KIR,Kiribati,8627309
577169000,TAISEI MARU 15,YJTJ8,VUT,Vanuatu,8710728
529605000,XIN RUI,T3HC2,KIR,Kiribati,9065534
372210000,SEA STAR V,3EYI5,PAN,Panama,8914221
372594000,EURO STAR,3EJQ3,PAN,Panama,8319055
374140000,SHIN HO CHUN NO. 102,3FEQ5,PAN,Panama,9262182
374317000,TAI FU NO. 1,3ECZ6,PAN,Panama,7908976
529087000,LAKE HILL,T3LP,KIR,Kiribati,8028955
576107000,LADY TUNA,YJQS6,VUT,Vanuatu,9453418
377762000,BALTICSTAR,J8B4371,VCT,Saint Vincent and the Grenadines,7726706
416696000,FU JYI,BZKU,TWN,Taiwan,6811932
416778000,WIN SHUEN SHING,BECS,TWN,Taiwan,7332713
440116000,SALTLAKE,D7MG,KOR,South Korea,8603121
440283000,SEIYU,D8DK,KOR,South Korea,9172909
441032000,SEI SHIN,DSOP5,KOR,South Korea,8808161
441720000,LAKE WIN,DSQW2,KOR,South Korea,9020780
455302000,VILADHAURU,8QFP,MDV,Maldives,8211045
576274000,NEW SATSUKI,YJVZ8,VUT,Vanuatu,8920024
563418000,CHITOSE,9V6110,SGP,Singapore,9666508
567255000,M.V. S.LEELAWADEE,HSB3070,THA,Thailand,7637539
567293000,MISSOURI REEFER,HSB3203,THA,Thailand,7635878
567476000,SEAVICREEFER,HSB4761,THA,Thailand,7724186
616757000,DELTAREEFER,D6EW9,COM,Comoros,7912408
312097000,ALASKA,V3JL2,BLZ,Belize,
,FONGQUN,,PAN,Panama,7920728
,HAN YI,,KIR,Kiribati,9441960
,HENGYU,,BLZ,Belize,8908739
,NEWHAYATSUKI,,PAN,Panama,9003756
,SEAVIC REEFER,,PAN,Panama,7724186
,ZHOUYULENG8,,CHN,China,8887997
312003000,TIAN XING,V3PG2,CHN,China,8731930
671918000,QIAN YUAN,5VEZ8,CHN,China,8819691
259433000,RONJA PIONEER,LAGT,NOR,Norway,9345520
338132058,F/V PAVLOF,WBP5804,USA,United States,
366841470,CHAMAI,WDD5880,USA,United States,
366971260,CAPE CALM,WBM7124,USA,United States,7939523
367139360,TOTEM,WBC4008,USA,United States,
367392530,LAST FRONTIER,WDE7375,USA,United States,8855205
515924000,DART,XUKP3,KHM,Cambodia,8421274
412331049,LURONGYUANYUYUN1,BZSU,CHN,China,8786478
412440007,MIN XIA YU 1458,BVBR7,CHN,China,8426951
412440364,FUYUANYUYUN87,BVMO5,CHN,China,
431700203,NITTOMARU33,JD2449,JPN,Japan,8821345
440906000,TAELIM JASMINE,DSPF5,KOR,South Korea,8708191
663037000,BOROM DARADJI,6WIY,SEN,Senegal,7021209
800668688,HAIFENG9,BCLN5,UNK,,
,SEISHO MARU NO.38,,JPN,Japan,9032355
,YASNOMORSKIY,,RUS,Russia,8136817
636015543,BAY PHOENIX,A8OE5,LBR,Liberia,9047271
212373000,FORLINE1,P3HQ8,CYP,Cyprus,8216722
306073000,SIERRAMODOC,PJHG,CUW,Cura ao,9076246
273332306,BUKHTA RUSSKAYA,UFLQ,RUS,Russia,9076272
273332339,BUKHTA RUSSKAYA,UFLQ,RUS,Russia,9076272
229463000,NOVABRETAGNE,9HA3352,MLT,Malta,9000364
273378130,ANDROMEDA,UBQM4,RUS,Russia,9000364
356728000,FRIOKYKNOS,3ETB8,MLT,Malta,9035072
229575000,SIERRA LARA,9HA3420,MLT,Malta,9120205
311000682,SIERRA LARA,C6DI3,BHS,The Bahamas,9120205
441923000,SEIN STAR,DSRN5,KOR,South Korea,8319029
273195200,KRYMSKIY,UDRA,RUS,Russia,8423583
273210110,PAMYAT KIROVA,UFXA,RUS,Russia,8701040
273310240,APOLLO FLYER,UIWS,RUS,Russia,8303927
666000001,ORION,UBYQ,RUS,Russia,7920546
273313470,ANATOLIY LARIN,UBHE3,RUS,Russia,8516641
273330285,POLTAVA,UEEJ,RUS,Russia,9175286
273339230,OS REEFER,UBVF7,RUS,Russia,7825631
273358410,BUKHTA ASACHA,UHJK,RUS,Russia,8210247
273358980,CAPTAINMOKEEV,UBMJ3,RUS,Russia,9081667
273384930,VYSOTSK,UAPA,RUS,Russia,9196357
273387370,ZOLOTOY ROG,UAXZ,RUS,Russia,9016973
636014471,TAGANROGSKIY ZALIV,A8UC4,LBR,Liberia,9016973
273410910,LIMANSKIY,UGFF,RUS,Russia,8423612
273421470,PROFESSOR MEGRABOV,UFOC,RUS,Russia,7723065
273440894,KATRAN,UERV,RUS,Russia,8727343
273441711,JUPITER,UDOW,RUS,Russia,7700116
273449788,PLUTONAS,UERU,RUS,Russia,7808322
373039000,HAI FENG 688,3FDH6,PAN,Panama,9016985
273818000,DIONA,UCBY,RUS,Russia,9125920
273819710,SUBARU,UEKN,RUS,Russia,8810310
273824020,NIKOLAY KASATKIN,UEFY,RUS,Russia,8857796
273829410,SAKHRYBA,UEKI,RUS,Russia,8842997
273873500,OSTROV IONY,UGCW,RUS,Russia,8847052
273879400,AMURSKIY LIMAN,UGCT,RUS,Russia,8858568
273895551,DRUZHBA,UHSV,RUS,Russia,8730089
277099000,ARGO,LYKM,LTU,Lithuania,8506737
306872000,SIERRA LOBA,PJYS,CUW,Cura ao,9120217
440014000,LAKE NOVA,D7AL,KOR,South Korea,9009669
325753000,OCEAN STAR 96,J7DE4,DMA,Dominica,8517358
352610000,MARBELLA CARRIER,3FJE9,PAN,Panama,9063653
309689000,GREEN COSTA RICA,C6WB3,BHS,The Bahamas,8912120
311009400,GREEN KARMOY,C6XH2,BHS,The Bahamas,8804531
311011400,GREEN COOLER,C6XJ4,BHS,The Bahamas,8804543
341384000,REINA,V4TY2,KNA,Saint Kitts and Nevis,8202226
374014000,PONTOS,HONN,PAN,Panama,8908739
312845000,TOKACHI FROST,V3RS6,BLZ,Belize,8503242
312887000,HAI FENG 668,V3OL8,BLZ,Belize,8800236
529764000,WEI SHUN,T3PT2,KIR,Kiribati,8312655
319235000,ICERUNNER,ZCMO7,CYM,Cayman Islands,8311120
325447000,NORCAPE,J7BP8,DMA,Dominica,8800224
351795000,BELITA,3EZJ8,PAN,Panama,8608597
334640000,BLISSFULREEFER,HQXO8,HND,Honduras,5296795
353799000,BLISSFULREEFER,HP5007,PAN,Panama,5296795
352739000,HAIFENG898,3ENU6,PAN,Panama,8420751
514666000,BEAM,XUGH2,KHM,Cambodia,8408258
351336000,FRIO NAGATO,H3QQ,PAN,Panama,9227596
351370000,DONA LIBRA,3FPF3,PAN,Panama,8612304
576139000,TUNA PRINCESS,YJQT4,VUT,Vanuatu,9314612
352247000,FONG KUO NO. 818,3EPS8,PAN,Panama,8904070
352784000,FRIO ANTWERP,3FVX3,PAN,Panama,9078282
576711000,FRIO ATHENS,YJQN2,VUT,Vanuatu,8710340
374446000,HARU,3EHZ8,PAN,Panama,9241932
355894000,MONTESOL,3FRZ5,PAN,Panama,7721067
356386002,SUAH,HOZZ,PAN,Panama,9000376
356616000,SAMPAQUITA,3EQZ7,PAN,Panama,8904941
357020000,TIARA 108,3FQH9,PAN,Panama,8420763
454215600,MIN TAI LENG,T3HD2,KIR,Kiribati,8627309
371790000,KAI DE,H3XA,PAN,Panama,8421286
374290000,MING HANG 8,HPNW,PAN,Panama,8224432
529096000,TAI FU NO.1,T3LY,KIR,Kiribati,7908976
374831000,ISLAND REEFER,HOFG,PAN,Panama,8312461
412202350,TAI YU,BAIL,CHN,China,8810657
577077000,TAIHO MARU,YJRZ2,VUT,Vanuatu,9459591
440523000,LAKE GLORY,DSOC6,KOR,South Korea,8204597
441759000,SEIN SUN,DSQY9,KOR,South Korea,8415859
520093696,WANJINHAI9918,T3PR,FJI,Fiji,8024935
636017556,ZHONG XIANG,D5LN5,LBR,Liberia,8814299
567046600,ASIAN MARINE REEFER 2,HSBX,THA,Thailand,7804900
567391000,PATSORN,HSB4501,THA,Thailand,7713230
636017359,SHOTA MARU,D5KN7,LBR,Liberia,9194892
627093246,VOLTAVICT,9GRG,GHA,Ghana,9140102
,SUTTIREEFER,,HND,Honduras,7713228
,ZHOUYULENG3,,CHN,China,8831986
338164513,PRIEST POINT,WCE6163,USA,United States,
412208610,HAIYING,BANV,CHN,China,8319598
413700350,HONG FENG 1 HAO,BVSP7,CHN,China,9756573
367097520,JENNIFER A,WDC9097,USA,United States,7937501
338167548,ISLAND DANCER,WCX2761,USA,United States,
366166330,ANNIHILATOR,WAV9937,USA,United States,7933672
367019320,LOGGER,WDC4116,USA,United States,7203003
